,PID,Surv,Sex,Age,Fare,Cabin,hello
0,1,0,male,22.0,7.25,,hello
1,2,1,female,38.0,71.2833,C85,hello
2,3,1,female,26.0,7.925,,hello
3,4,1,female,35.0,53.1,C123,hello
4,5,0,male,35.0,8.05,,hello
5,6,0,male,,8.4583,,hello
6,7,0,male,54.0,51.8625,E46,hello
7,8,0,male,2.0,21.075,,hello
8,9,1,female,27.0,11.1333,,hello
9,10,1,female,14.0,30.0708,,hello
10,11,1,female,4.0,16.7,G6,hello
11,12,1,female,58.0,26.55,C103,hello
12,13,0,male,20.0,8.05,,hello
13,14,0,male,39.0,31.275,,hello
14,15,0,female,14.0,7.8542,,hello
15,16,1,female,55.0,16.0,,hello
16,17,0,male,2.0,29.125,,hello
17,18,1,male,,13.0,,hello
18,19,0,female,31.0,18.0,,hello
19,20,1,female,,7.225,,hello
20,21,0,male,35.0,26.0,,hello
21,22,1,male,34.0,13.0,D56,hello
22,23,1,female,15.0,8.0292,,hello
23,24,1,male,28.0,35.5,A6,hello
24,25,0,female,8.0,21.075,,hello
25,26,1,female,38.0,31.3875,,hello
26,27,0,male,,7.225,,hello
27,28,0,male,19.0,263.0,C23 C25 C27,hello
28,29,1,female,,7.8792,,hello
29,30,0,male,,7.8958,,hello
30,31,0,male,40.0,27.7208,,hello
31,32,1,female,,146.5208,B78,hello
32,33,1,female,,7.75,,hello
33,34,0,male,66.0,10.5,,hello
34,35,0,male,28.0,82.1708,,hello
35,36,0,male,42.0,52.0,,hello
36,37,1,male,,7.2292,,hello
37,38,0,male,21.0,8.05,,hello
38,39,0,female,18.0,18.0,,hello
39,40,1,female,14.0,11.2417,,hello
40,41,0,female,40.0,9.475,,hello
41,42,0,female,27.0,21.0,,hello
42,43,0,male,,7.8958,,hello
43,44,1,female,3.0,41.5792,,hello
44,45,1,female,19.0,7.8792,,hello
45,46,0,male,,8.05,,hello
46,47,0,male,,15.5,,hello
47,48,1,female,,7.75,,hello
48,49,0,male,,21.6792,,hello
49,50,0,female,18.0,17.8,,hello
50,51,0,male,7.0,39.6875,,hello
51,52,0,male,21.0,7.8,,hello
52,53,1,female,49.0,76.7292,D33,hello
53,54,1,female,29.0,26.0,,hello
54,55,0,male,65.0,61.9792,B30,hello
55,56,1,male,,35.5,C52,hello
56,57,1,female,21.0,10.5,,hello
57,58,0,male,28.5,7.2292,,hello
58,59,1,female,5.0,27.75,,hello
59,60,0,male,11.0,46.9,,hello
60,61,0,male,22.0,7.2292,,hello
61,62,1,female,38.0,80.0,B28,hello
62,63,0,male,45.0,83.475,C83,hello
63,64,0,male,4.0,27.9,,hello
64,65,0,male,,27.7208,,hello
65,66,1,male,,15.2458,,hello
66,67,1,female,29.0,10.5,F33,hello
67,68,0,male,19.0,8.1583,,hello
68,69,1,female,17.0,7.925,,hello
69,70,0,male,26.0,8.6625,,hello
70,71,0,male,32.0,10.5,,hello
71,72,0,female,16.0,46.9,,hello
72,73,0,male,21.0,73.5,,hello
73,74,0,male,26.0,14.4542,,hello
74,75,1,male,32.0,56.4958,,hello
75,76,0,male,25.0,7.65,F G73,hello
76,77,0,male,,7.8958,,hello
77,78,0,male,,8.05,,hello
78,79,1,male,0.83,29.0,,hello
79,80,1,female,30.0,12.475,,hello
80,81,0,male,22.0,9.0,,hello
81,82,1,male,29.0,9.5,,hello
82,83,1,female,,7.7875,,hello
83,84,0,male,28.0,47.1,,hello
84,85,1,female,17.0,10.5,,hello
85,86,1,female,33.0,15.85,,hello
86,87,0,male,16.0,34.375,,hello
87,88,0,male,,8.05,,hello
88,89,1,female,23.0,263.0,C23 C25 C27,hello
89,90,0,male,24.0,8.05,,hello
90,91,0,male,29.0,8.05,,hello
91,92,0,male,20.0,7.8542,,hello
92,93,0,male,46.0,61.175,E31,hello
93,94,0,male,26.0,20.575,,hello
94,95,0,male,59.0,7.25,,hello
95,96,0,male,,8.05,,hello
96,97,0,male,71.0,34.6542,A5,hello
97,98,1,male,23.0,63.3583,D10 D12,hello
98,99,1,female,34.0,23.0,,hello
99,100,0,male,34.0,26.0,,hello
100,101,0,female,28.0,7.8958,,hello
101,102,0,male,,7.8958,,hello
102,103,0,male,21.0,77.2875,D26,hello
103,104,0,male,33.0,8.6542,,hello
104,105,0,male,37.0,7.925,,hello
105,106,0,male,28.0,7.8958,,hello
106,107,1,female,21.0,7.65,,hello
107,108,1,male,,7.775,,hello
108,109,0,male,38.0,7.8958,,hello
109,110,1,female,,24.15,,hello
110,111,0,male,47.0,52.0,C110,hello
111,112,0,female,14.5,14.4542,,hello
112,113,0,male,22.0,8.05,,hello
113,114,0,female,20.0,9.825,,hello
114,115,0,female,17.0,14.4583,,hello
115,116,0,male,21.0,7.925,,hello
116,117,0,male,70.5,7.75,,hello
117,118,0,male,29.0,21.0,,hello
118,119,0,male,24.0,247.5208,B58 B60,hello
119,120,0,female,2.0,31.275,,hello
120,121,0,male,21.0,73.5,,hello
121,122,0,male,,8.05,,hello
122,123,0,male,32.5,30.0708,,hello
123,124,1,female,32.5,13.0,E101,hello
124,125,0,male,54.0,77.2875,D26,hello
125,126,1,male,12.0,11.2417,,hello
126,127,0,male,,7.75,,hello
127,128,1,male,24.0,7.1417,,hello
128,129,1,female,,22.3583,F E69,hello
129,130,0,male,45.0,6.975,,hello
130,131,0,male,33.0,7.8958,,hello
131,132,0,male,20.0,7.05,,hello
132,133,0,female,47.0,14.5,,hello
133,134,1,female,29.0,26.0,,hello
134,135,0,male,25.0,13.0,,hello
