date,color,dew,snow,fog
5/1/2011,yellow,6,30.31,42
5/2/2011,blue,10,30.31,50
5/3/2011,red,15,30.14,59
5/4/2011,blue,14,30.03,57
5/5/2011,yellow,4,30.01,39
5/6/2011,red,8,29.99,46
5/7/2011,red,8,29.87,47
5/8/2011,blue,9,29.96,48
5/9/2011,blue,9,30.01,49
5/10/2011,red,8,30.05,47
5/11/2011,red,10,30.09,50
5/12/2011,red,11,30.1,51
5/13/2011,blue,11,30.03,51
5/14/2011,red,13,29.89,55
5/15/2011,yellow,18,29.74,65
5/16/2011,blue,16,29.87,61
5/17/2011,red,14,29.98,57
5/18/2011,blue,16,30.03,61
5/19/2011,blue,18,30.05,64
5/20/2011,red,16,29.99,61
5/21/2011,red,17,30.05,63
5/22/2011,blue,14,30.2,57
5/23/2011,yellow,17,30.15,63
5/24/2011,red,21,29.81,70
5/25/2011,red,16,29.95,61
5/26/2011,red,20,29.96,68
5/27/2011,blue,21,30.01,69
5/28/2011,yellow,20,30.09,68
5/29/2011,red,21,,69
5/30/2011,blue,21,30.13,70
